amfi_code,scheme_name,fund_house,category,plan,cagr_1yr_computed,cagr_3yr_computed,cagr_3yr_ref,cagr_5yr_ref,diff_3yr_pct
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,7.9948406724375864,15.199091421256817,11.3,14.23,3.8990914212568164
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,83.61363849600771,28.07585983623553,23.39,20.67,4.6858598362355295
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,10.359131773018927,0.18484664592763878,23.14,21.82,-22.955153354072362
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,3.6410000447372637,14.693231522347006,11.54,11.46,3.1532315223470064
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Direct,13.649410701300436,27.886717505894776,14.41,13.02,13.476717505894776
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,32.1654576151277,29.64993404956926,18.08,17.55,11.569934049569262
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,34.358634808068686,18.098572298772766,14.76,12.6,3.3385722987727657
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Regular,7.067325906098354,7.063476974031735,7.68,7.94,-0.6165230259682648
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,17.639236454067397,16.446665078408863,12.25,13.42,4.196665078408863
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,19.378621087131442,9.896111385771578,18.23,17.75,-8.333888614228423
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,28.31806651579336,25.41357504574635,15.65,13.5,9.763575045746348
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Regular,6.780707351097548,6.555138646928649,6.18,8.26,0.37513864692864907
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Direct,29.578878385516603,17.768267168939687,13.38,13.48,4.388267168939686
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Direct,16.19187380638667,12.564556862743114,15.29,15.85,-2.7254431372568853
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,15.46638439085639,31.495335576695418,14.81,12.68,16.685335576695415
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,9.591635123774722,13.526654355414113,14.56,15.68,-1.0333456445858875
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,44.34222087674349,23.388973345158035,13.58,14.26,9.808973345158035
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,19.204740544051212,16.61251630174072,12.82,12.35,3.7925163017407186
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,22.77278799917939,23.888131507039432,17.16,19.0,6.728131507039432
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,63.35906970660301,25.315693392596184,20.08,20.61,5.235693392596186
