investor_id,sip_count,avg_gap,max_gap,avg_amount,total_sip,at_risk
INV000512,9,54.8,112.0,8158.0,73426,True
INV000522,6,100.8,309.0,4712.0,28275,True
INV000524,7,55.0,91.0,16939.0,118571,True
INV000527,6,50.8,116.0,19262.0,115570,True
INV000529,6,59.2,110.0,3838.0,23027,True
INV000531,7,47.0,82.0,21655.0,151584,True
INV000539,7,77.0,153.0,15339.0,107371,True
INV000540,7,73.5,123.0,11182.0,78276,True
INV000543,7,83.7,218.0,23244.0,162711,True
INV000545,6,80.6,181.0,8091.0,48548,True
INV000546,9,55.0,154.0,10222.0,92002,True
INV000547,6,55.8,140.0,6189.0,37135,True
INV000549,6,96.2,146.0,14464.0,86784,True
INV000553,6,72.0,172.0,9116.0,54698,True
INV000554,6,70.2,171.0,9457.0,56741,True
INV000556,8,52.4,156.0,15802.0,126416,True
INV000562,6,74.4,197.0,8049.0,48292,True
INV000563,7,76.3,198.0,8480.0,59358,True
INV000566,7,35.0,119.0,17144.0,120009,False
INV000567,6,63.8,166.0,5546.0,33277,True
INV000568,6,62.4,180.0,17826.0,106953,True
INV000570,8,67.3,186.0,17030.0,136242,True
INV000573,7,50.8,154.0,16376.0,114632,True
INV000575,6,71.6,155.0,7199.0,43192,True
INV000578,7,66.8,164.0,13142.0,91996,True
INV000581,7,78.3,160.0,8409.0,58863,True
INV000586,7,44.5,111.0,19732.0,138122,True
INV000589,9,59.1,90.0,7705.0,69345,True
INV000591,7,64.5,112.0,2267.0,15867,True
INV000593,6,74.2,179.0,5180.0,31078,True
INV000596,9,51.8,140.0,18879.0,169915,True
INV000597,6,88.6,198.0,13748.0,82488,True
INV000599,7,81.5,171.0,14823.0,103758,True
INV000607,7,66.7,209.0,5528.0,38693,True
INV000608,6,100.2,324.0,7579.0,45475,True
INV000609,6,47.0,87.0,7369.0,44212,True
INV000612,11,49.3,169.0,11241.0,123648,True
INV000615,7,55.8,139.0,4225.0,29577,True
INV000624,7,31.7,53.0,18848.0,131937,False
INV000625,6,86.4,134.0,3900.0,23397,True
INV000630,7,68.7,161.0,7883.0,55182,True
INV000631,6,54.0,145.0,7553.0,45319,True
INV000634,9,52.2,147.0,10955.0,98595,True
INV000635,6,75.0,240.0,5027.0,30163,True
INV000641,6,54.8,126.0,15471.0,92825,True
INV000642,9,53.5,139.0,12202.0,109817,True
INV000645,6,66.0,127.0,4441.0,26646,True
INV000646,7,62.3,138.0,10887.0,76212,True
INV000651,6,94.0,304.0,5730.0,34381,True
INV000652,6,93.8,262.0,5806.0,34837,True
INV000657,8,64.7,106.0,12924.0,103388,True
INV000662,8,66.1,185.0,4280.0,34238,True
INV000663,6,94.4,247.0,13886.0,83316,True
INV000665,10,36.2,148.0,5614.0,56140,True
INV000667,6,68.0,134.0,19619.0,117715,True
INV000673,6,92.8,235.0,24256.0,145533,True
INV000675,6,62.8,155.0,3860.0,23160,True
INV000676,11,35.3,106.0,15886.0,174741,True
INV000678,7,63.3,140.0,5232.0,36623,True
INV000683,9,54.5,137.0,5298.0,47678,True
INV000690,8,56.3,134.0,21146.0,169171,True
INV000691,6,66.4,163.0,8394.0,50363,True
INV000698,9,52.2,219.0,8650.0,77848,True
INV000699,6,42.8,147.0,8595.0,51568,True
INV000701,7,83.7,298.0,7355.0,51486,True
INV000707,9,34.4,106.0,5665.0,50988,False
INV000709,7,65.2,128.0,20532.0,143724,True
INV000710,6,88.6,264.0,10496.0,62975,True
INV000714,9,37.0,95.0,5280.0,47519,True
INV000718,7,57.8,118.0,7531.0,52719,True
INV000719,7,72.8,185.0,18750.0,131252,True
INV000724,6,81.2,227.0,5547.0,33281,True
INV000725,7,67.7,92.0,12852.0,89962,True
INV000734,8,64.0,180.0,13510.0,108076,True
INV000737,6,92.6,168.0,24390.0,146341,True
INV000747,6,84.6,205.0,14490.0,86939,True
INV000750,9,26.5,84.0,10664.0,95979,False
INV000751,9,53.0,193.0,4685.0,42163,True
INV000754,7,72.3,103.0,13945.0,97616,True
INV000759,7,83.0,156.0,6291.0,44038,True
INV000761,7,75.2,173.0,16496.0,115474,True
INV000768,8,60.0,124.0,10134.0,81075,True
INV000772,6,46.0,81.0,14796.0,88779,True
INV000774,7,73.7,169.0,11959.0,83715,True
INV000776,8,59.4,116.0,5053.0,40424,True
INV000777,6,66.0,121.0,3491.0,20946,True
INV000778,8,59.7,182.0,12405.0,99237,True
INV000779,6,75.0,153.0,2036.0,12215,True
INV000783,6,89.8,187.0,23029.0,138175,True
INV000785,6,32.6,66.0,4885.0,29312,False
INV000786,9,64.1,199.0,8207.0,73859,True
INV000789,8,55.1,225.0,13835.0,110683,True
INV000793,8,69.1,149.0,13141.0,105129,True
INV000803,7,77.2,147.0,10773.0,75412,True
INV000814,6,94.0,195.0,18618.0,111708,True
INV000822,7,55.5,141.0,9848.0,68933,True
INV000823,7,39.7,69.0,7056.0,49395,True
INV000827,8,58.3,122.0,5770.0,46159,True
INV000830,6,72.2,165.0,12857.0,77141,True
INV000833,8,67.3,182.0,11087.0,88699,True
INV000836,6,84.8,123.0,21329.0,127974,True
INV000843,6,55.6,102.0,8247.0,49484,True
INV000844,7,66.2,151.0,6950.0,48647,True
INV000847,6,47.8,75.0,3462.0,20771,True
INV000853,10,49.3,193.0,6186.0,61865,True
INV000854,9,61.2,170.0,16595.0,149355,True
INV000858,9,44.9,157.0,7880.0,70918,True
INV000862,6,91.2,372.0,19856.0,119139,True
INV000864,6,40.8,106.0,12032.0,72191,True
INV000865,9,45.8,99.0,18321.0,164885,True
INV000869,6,65.4,100.0,4900.0,29400,True
INV000873,7,73.5,299.0,6406.0,44839,True
INV000874,9,62.1,149.0,4322.0,38895,True
INV000877,6,59.4,159.0,19344.0,116062,True
INV000881,10,46.1,155.0,6144.0,61437,True
INV000887,7,65.7,268.0,16554.0,115877,True
INV000888,7,80.3,166.0,14059.0,98413,True
INV000893,7,59.5,147.0,13315.0,93208,True
INV000894,6,55.0,105.0,6166.0,36994,True
INV000901,6,54.0,95.0,6017.0,36100,True
INV000907,6,59.2,139.0,4420.0,26520,True
INV000920,6,75.6,220.0,16275.0,97652,True
INV000926,6,80.0,111.0,11169.0,67012,True
INV000929,7,58.2,116.0,21448.0,150139,True
INV000930,8,32.4,118.0,11624.0,92989,False
INV000935,9,30.9,73.0,16980.0,152824,False
INV000939,8,60.6,154.0,8688.0,69507,True
INV000942,7,53.0,92.0,19785.0,138493,True
INV000949,7,67.5,135.0,7112.0,49784,True
INV000950,6,91.0,215.0,6197.0,37182,True
INV000971,7,46.8,139.0,5563.0,38940,True
INV000974,7,73.5,143.0,5717.0,40022,True
INV000977,10,48.8,147.0,12974.0,129735,True
INV000979,6,79.8,115.0,23575.0,141450,True
INV000980,8,44.4,121.0,26065.0,208518,True
INV000981,6,50.4,104.0,11407.0,68442,True
INV000986,7,60.8,182.0,23770.0,166388,True
INV000994,6,63.8,167.0,9303.0,55817,True
INV001001,8,60.3,137.0,8466.0,67731,True
INV001002,7,41.7,85.0,5443.0,38098,True
INV001005,6,93.6,206.0,12422.0,74535,True
INV001008,7,64.7,191.0,9032.0,63227,True
INV001013,6,96.8,164.0,13640.0,81838,True
INV001017,6,67.0,142.0,4641.0,27846,True
INV001019,9,44.9,180.0,6954.0,62583,True
INV001021,7,68.7,186.0,7756.0,54295,True
INV001023,8,72.4,202.0,4754.0,38036,True
INV001025,6,38.8,76.0,12835.0,77009,True
INV001026,6,69.4,132.0,8600.0,51600,True
INV001037,10,42.0,86.0,7392.0,73922,True
INV001039,6,66.2,187.0,3307.0,19840,True
INV001041,7,83.0,195.0,10375.0,72624,True
INV001047,7,66.2,142.0,7556.0,52894,True
INV001048,8,47.0,84.0,4561.0,36491,True
INV001051,8,54.1,139.0,7181.0,57451,True
INV001053,8,55.9,116.0,5768.0,46140,True
INV001055,6,93.2,177.0,12852.0,77109,True
INV001060,9,53.4,89.0,12632.0,113690,True
INV001061,9,51.1,141.0,11088.0,99794,True
INV001063,8,43.3,120.0,3849.0,30795,True
INV001064,9,59.5,160.0,16850.0,151648,True
INV001069,8,41.3,98.0,12029.0,96230,True
INV001070,6,97.0,329.0,17320.0,103923,True
INV001092,7,77.3,186.0,10805.0,75632,True
INV001099,8,26.1,63.0,16967.0,135739,False
INV001102,7,55.3,87.0,12506.0,87539,True
INV001115,6,81.4,290.0,8564.0,51387,True
INV001116,9,58.1,194.0,8303.0,74728,True
INV001117,8,61.7,137.0,6735.0,53882,True
INV001130,7,76.8,131.0,19956.0,139695,True
INV001137,7,57.0,120.0,5099.0,35691,True
INV001140,6,60.4,125.0,6605.0,39628,True
INV001141,6,97.6,132.0,5743.0,34460,True
INV001142,7,42.8,106.0,8588.0,60116,True
INV001156,6,102.4,175.0,8663.0,51977,True
INV001160,8,57.6,99.0,5630.0,45043,True
INV001161,6,80.6,159.0,24377.0,146262,True
INV001163,7,67.3,255.0,4840.0,33877,True
INV001167,6,96.2,207.0,13004.0,78024,True
INV001170,6,68.2,119.0,11779.0,70673,True
INV001173,6,67.0,146.0,9730.0,58382,True
INV001178,7,79.7,140.0,5409.0,37864,True
INV001180,6,74.4,198.0,17369.0,104216,True
INV001181,8,67.4,163.0,11402.0,91218,True
INV001190,6,97.0,198.0,7624.0,45744,True
INV001195,8,53.4,167.0,15961.0,127687,True
INV001196,6,92.2,169.0,10307.0,61840,True
INV001202,8,58.0,103.0,6865.0,54919,True
INV001206,6,83.6,190.0,12732.0,76395,True
INV001208,7,51.8,107.0,9781.0,68466,True
INV001210,9,36.9,93.0,9343.0,84090,True
INV001217,8,60.1,205.0,12383.0,99061,True
INV001219,8,50.9,118.0,11309.0,90473,True
INV001220,7,77.2,104.0,2630.0,18410,True
INV001223,7,70.8,175.0,11657.0,81600,True
INV001234,8,60.6,119.0,11388.0,91103,True
INV001235,9,59.0,161.0,13996.0,125966,True
INV001237,6,98.0,182.0,11130.0,66778,True
INV001238,7,68.5,220.0,6509.0,45560,True
INV001242,6,69.8,128.0,4443.0,26658,True
INV001251,6,82.0,223.0,23820.0,142919,True
INV001262,7,44.8,116.0,19420.0,135943,True
INV001274,7,73.3,161.0,8087.0,56609,True
INV001275,7,66.7,140.0,7382.0,51676,True
INV001282,6,67.0,196.0,8396.0,50374,True
INV001287,6,92.2,157.0,12420.0,74519,True
INV001288,7,45.7,148.0,18177.0,127240,True
INV001291,6,76.2,181.0,19679.0,118076,True
INV001295,9,50.8,165.0,7427.0,66843,True
INV001298,7,71.8,158.0,1880.0,13160,True
INV001299,9,51.2,121.0,7545.0,67906,True
INV001304,6,97.6,177.0,21268.0,127605,True
INV001308,9,54.6,147.0,16139.0,145248,True
INV001310,6,81.2,232.0,8144.0,48861,True
INV001314,10,50.4,130.0,19603.0,196028,True
INV001315,7,51.8,124.0,8979.0,62854,True
INV001316,6,92.4,198.0,2472.0,14835,True
INV001317,6,84.8,162.0,4932.0,29592,True
INV001318,10,46.2,150.0,11266.0,112663,True
INV001326,8,69.4,182.0,12885.0,103082,True
INV001329,6,68.2,97.0,10055.0,60331,True
INV001331,6,94.2,202.0,5224.0,31343,True
INV001332,7,80.0,179.0,8142.0,56992,True
INV001333,7,78.7,185.0,1683.0,11779,True
INV001336,8,65.9,198.0,11856.0,94852,True
INV001348,7,47.8,121.0,13003.0,91022,True
INV001351,7,70.5,208.0,20901.0,146308,True
INV001355,6,60.2,187.0,6999.0,41992,True
INV001356,6,79.2,191.0,6641.0,39847,True
INV001359,7,72.5,313.0,15694.0,109856,True
INV001361,7,50.5,103.0,14238.0,99669,True
INV001367,6,99.0,222.0,11966.0,71798,True
INV001375,7,78.5,176.0,6674.0,46716,True
INV001376,7,78.7,181.0,9437.0,66059,True
INV001383,8,56.1,117.0,10010.0,80080,True
INV001387,9,57.2,130.0,12386.0,111470,True
INV001394,8,63.6,171.0,15889.0,127115,True
INV001400,6,76.8,266.0,18649.0,111893,True
INV001401,6,68.6,197.0,6570.0,39421,True
INV001406,10,47.7,202.0,7149.0,71494,True
INV001407,6,45.2,141.0,8246.0,49474,True
INV001415,8,68.1,173.0,6008.0,48063,True
INV001418,6,88.6,187.0,4615.0,27688,True
INV001419,6,85.8,137.0,11238.0,67428,True
INV001423,8,48.6,105.0,8048.0,64384,True
INV001428,6,79.4,174.0,12005.0,72032,True
INV001432,6,71.4,175.0,3776.0,22656,True
INV001434,6,80.6,178.0,12186.0,73116,True
INV001442,9,57.1,238.0,7469.0,67217,True
INV001454,7,73.0,176.0,5381.0,37667,True
INV001455,8,64.7,153.0,5889.0,47113,True
INV001457,6,43.8,63.0,14324.0,85947,True
INV001458,7,59.8,101.0,11217.0,78518,True
INV001466,6,44.6,82.0,17092.0,102555,True
INV001472,6,79.0,141.0,19990.0,119937,True
INV001482,6,80.6,280.0,14042.0,84250,True
INV001485,9,55.0,150.0,12581.0,113230,True
INV001491,6,98.8,260.0,6317.0,37904,True
INV001497,9,63.0,138.0,8656.0,77902,True
INV001504,9,54.2,134.0,14645.0,131804,True
INV001507,6,86.2,167.0,4001.0,24004,True
INV001510,7,66.8,124.0,16169.0,113185,True
INV001514,7,51.8,72.0,21437.0,150056,True
INV001516,6,56.8,85.0,17788.0,106727,True
INV001526,6,50.4,134.0,7605.0,45632,True
INV001530,7,64.7,122.0,2586.0,18100,True
INV001532,7,56.8,101.0,11822.0,82757,True
INV001536,7,69.0,189.0,15444.0,108107,True
INV001545,6,92.8,208.0,14331.0,85986,True
INV001547,7,72.2,119.0,10772.0,75405,True
INV001548,6,80.6,197.0,11874.0,71244,True
INV001550,7,79.0,191.0,12275.0,85924,True
INV001551,6,61.8,131.0,3034.0,18205,True
INV001562,10,44.2,146.0,6656.0,66556,True
INV001564,8,55.7,157.0,9286.0,74288,True
INV001569,6,83.4,314.0,14088.0,84525,True
INV001579,7,75.0,193.0,19122.0,133855,True
INV001580,7,45.7,119.0,12204.0,85427,True
INV001585,6,56.6,182.0,10182.0,61091,True
INV001587,7,65.0,144.0,10350.0,72452,True
INV001597,7,56.0,165.0,14156.0,99091,True
INV001599,6,58.2,133.0,8780.0,52681,True
INV001602,6,93.8,294.0,11052.0,66310,True
INV001603,7,54.5,93.0,9150.0,64051,True
INV001605,8,60.6,136.0,20236.0,161888,True
INV001606,7,67.7,148.0,13665.0,95656,True
INV001616,9,53.0,117.0,17040.0,153361,True
INV001623,6,92.0,188.0,10499.0,62993,True
INV001625,6,72.0,209.0,2500.0,15000,True
INV001628,8,51.7,139.0,13924.0,111394,True
INV001629,7,67.5,82.0,4878.0,34149,True
INV001631,6,57.0,101.0,1553.0,9317,True
INV001636,9,48.9,159.0,3993.0,35935,True
INV001641,6,88.4,168.0,12855.0,77129,True
INV001644,6,65.6,89.0,20628.0,123765,True
INV001645,6,67.6,202.0,8047.0,48283,True
INV001649,10,51.7,120.0,11346.0,113458,True
INV001651,7,78.7,130.0,23185.0,162293,True
INV001653,6,55.2,94.0,12773.0,76639,True
INV001654,7,56.0,137.0,15545.0,108816,True
INV001656,8,59.9,246.0,9755.0,78037,True
INV001662,6,60.2,147.0,11241.0,67445,True
INV001672,9,34.0,130.0,10059.0,90532,False
INV001673,11,49.3,181.0,7432.0,81749,True
INV001680,9,58.9,200.0,5224.0,47015,True
INV001683,7,72.5,186.0,11441.0,80088,True
INV001689,6,83.6,153.0,9970.0,59823,True
INV001690,7,81.2,114.0,8933.0,62532,True
INV001691,6,82.0,254.0,6775.0,40648,True
INV001694,8,66.1,144.0,18368.0,146945,True
INV001697,9,62.5,287.0,13126.0,118132,True
INV001699,6,83.2,183.0,17326.0,103956,True
INV001709,6,51.8,84.0,8376.0,50259,True
INV001711,7,65.8,189.0,3770.0,26390,True
INV001712,6,66.6,144.0,11046.0,66274,True
INV001715,8,68.3,188.0,12952.0,103613,True
INV001718,6,84.0,237.0,25318.0,151909,True
INV001724,7,69.7,134.0,12511.0,87580,True
INV001728,8,50.6,131.0,17875.0,142998,True
INV001737,7,56.8,191.0,14734.0,103141,True
INV001738,9,47.5,153.0,17476.0,157288,True
INV001739,9,52.5,96.0,12636.0,113721,True
INV001741,6,89.4,260.0,15788.0,94729,True
INV001744,7,78.5,155.0,12068.0,84479,True
INV001752,7,69.3,170.0,7283.0,50982,True
INV001753,11,42.8,128.0,10155.0,111704,True
INV001757,8,55.6,121.0,2015.0,16121,True
INV001759,10,49.6,126.0,10822.0,108215,True
INV001769,6,98.0,166.0,4826.0,28957,True
INV001772,6,95.0,184.0,18858.0,113146,True
INV001775,8,29.1,65.0,11608.0,92864,False
INV001777,9,57.6,156.0,12816.0,115340,True
INV001778,8,63.6,283.0,6840.0,54721,True
INV001797,7,79.7,132.0,6479.0,45355,True
INV001800,7,49.7,132.0,14342.0,100392,True
INV001802,7,61.7,151.0,14197.0,99376,True
INV001803,6,59.0,127.0,4940.0,29638,True
INV001804,8,55.9,126.0,12217.0,97734,True
INV001806,8,60.0,209.0,12282.0,98260,True
INV001809,6,95.6,249.0,11156.0,66937,True
INV001811,9,54.2,196.0,26043.0,234390,True
INV001822,6,19.8,43.0,7184.0,43103,False
INV001823,8,58.1,172.0,3861.0,30886,True
INV001826,6,51.2,128.0,7167.0,43001,True
INV001828,8,44.4,91.0,7160.0,57282,True
INV001831,6,72.8,181.0,7961.0,47766,True
INV001837,7,62.8,157.0,10719.0,75034,True
INV001841,6,56.2,129.0,8122.0,48729,True
INV001853,8,47.4,95.0,19761.0,158089,True
INV001858,8,55.1,261.0,13900.0,111198,True
INV001865,7,63.5,145.0,5356.0,37490,True
INV001866,6,58.8,117.0,8724.0,52342,True
INV001870,7,76.0,164.0,21588.0,151119,True
INV001871,7,55.0,101.0,14958.0,104709,True
INV001883,6,99.2,203.0,2791.0,16745,True
INV001885,6,71.2,128.0,2719.0,16314,True
INV001886,9,50.8,129.0,8211.0,73898,True
INV001890,6,102.6,207.0,1315.0,7890,True
INV001891,6,96.4,261.0,3695.0,22169,True
INV001909,8,62.1,121.0,9714.0,77716,True
INV001912,6,86.4,256.0,12098.0,72585,True
INV001920,7,39.0,76.0,15915.0,111406,True
INV001921,8,68.6,225.0,11787.0,94294,True
INV001923,7,80.7,106.0,6002.0,42011,True
INV001924,7,59.2,119.0,13699.0,95896,True
INV001927,6,58.8,91.0,7122.0,42729,True
INV001929,6,66.2,242.0,11247.0,67484,True
INV001937,8,60.4,253.0,6505.0,52043,True
INV001938,9,43.0,112.0,5215.0,46935,True
INV001943,6,74.4,171.0,10632.0,63792,True
INV001950,7,60.2,134.0,12626.0,88383,True
INV001951,7,58.8,124.0,5691.0,39840,True
INV001954,6,86.8,273.0,6361.0,38164,True
INV001955,6,76.0,199.0,13351.0,80106,True
INV001961,6,83.4,234.0,14542.0,87250,True
INV001969,6,79.2,163.0,3763.0,22578,True
INV001971,8,54.7,87.0,12026.0,96207,True
INV001972,8,42.4,153.0,18490.0,147921,True
INV001978,6,83.2,112.0,5564.0,33387,True
INV001979,6,55.4,100.0,13044.0,78262,True
INV001982,6,85.8,289.0,19808.0,118849,True
INV001986,7,47.7,98.0,13367.0,93572,True
INV001987,7,67.0,241.0,14522.0,101651,True
INV001990,8,45.3,91.0,7517.0,60133,True
INV001993,6,56.6,147.0,7042.0,42253,True
INV001995,6,48.6,94.0,12736.0,76418,True
INV001997,6,88.6,168.0,3846.0,23078,True
INV002001,6,84.8,335.0,6000.0,35997,True
INV002006,6,73.6,157.0,9380.0,56278,True
INV002010,6,74.6,103.0,18561.0,111364,True
INV002017,7,44.7,99.0,6871.0,48099,True
INV002018,6,63.6,106.0,3799.0,22792,True
INV002019,6,68.8,117.0,8478.0,50866,True
INV002025,7,55.8,92.0,7504.0,52531,True
INV002033,7,55.0,123.0,6169.0,43182,True
INV002034,8,69.0,166.0,9411.0,75286,True
INV002037,6,33.2,61.0,9720.0,58317,False
INV002038,6,84.0,202.0,14840.0,89042,True
INV002051,6,78.6,159.0,16852.0,101112,True
INV002052,7,44.2,114.0,20547.0,143832,True
INV002069,10,47.6,95.0,8275.0,82746,True
INV002070,7,81.3,118.0,10142.0,70993,True
INV002083,10,51.7,193.0,14275.0,142753,True
INV002085,6,65.0,220.0,14839.0,89035,True
INV002090,6,90.2,231.0,6396.0,38375,True
INV002092,7,33.5,54.0,9051.0,63358,False
INV002101,6,80.2,248.0,11857.0,71140,True
INV002102,6,44.8,63.0,15130.0,90782,True
