amfi_code,scheme_name,fund_house,category,sub_category,plan,ann_return_pct,cagr_1yr_pct,cagr_3yr_pct
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,Regular,31.126560032445983,83.61363849600771,28.07585983623553
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap,Direct,1.9817724717167584,10.359131773018927,0.18484664592763878
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap,Regular,18.070820555282662,3.6410000447372637,14.693231522347006
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,Direct,22.39354198337271,13.649410701300436,27.886717505894776
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,Regular,31.512437994004827,32.1654576151277,29.64993404956926
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value,Regular,16.439416926901053,34.358634808068686,18.098572298772766
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Liquid,Regular,6.9752416519982985,7.067325906098354,7.063476974031735
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,Regular,13.028336972322684,17.639236454067397,16.446665078408863
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,Regular,6.459250268658279,19.378621087131442,9.896111385771578
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,Regular,29.677649274395932,28.31806651579336,25.41357504574635
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Liquid,Regular,6.665013659448804,6.780707351097548,6.555138646928649
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,Direct,18.29378597431117,29.578878385516603,17.768267168939687
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,Direct,10.88492078875596,16.19187380638667,12.564556862743114
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,Regular,29.74136125393794,15.46638439085639,31.495335576695418
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Large & Mid Cap,Regular,21.6479764248394,9.591635123774722,13.526654355414113
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,Elss,Regular,30.673611122544674,44.34222087674349,23.388973345158035
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap,Regular,12.894863151904712,19.204740544051212,16.61251630174072
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap,Regular,28.409564547344026,22.77278799917939,23.888131507039432
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,Regular,30.9965179599899,63.35906970660301,25.315693392596184
